"Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","PScore","CScore"
"Red","Red","Dry","750ml","SEK","650","650","1","1","0","2017","Josetta Saffirio Barolo Millenovecento48 Riserva","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","750ml","SEK","638","638","1","1","0","2015","Josetta Saffirio Barolo Millenovecento48 Riserva","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","750ml","SEK","525","525","1","1","0","2017","Josetta Saffirio Barolo Persiera","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","1.5L","SEK","1099","1099","1","1","0","2016","Josetta Saffirio Barolo Persiera","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","750ml","SEK","550","550","1","1","0","2019","Josetta Saffirio Barolo Persiera Castelletto","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","750ml","SEK","539","539","1","1","0","2018","Josetta Saffirio Barolo Persiera Castelletto","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","750ml","SEK","869","869","1","1","0","2018","Josetta Saffirio Barolo Siri Carl�n Label Monforte d'Alba","Italy, Piedmont, Langhe, Barolo","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","750ml","SEK","229","229","2","2","0","2022","Josetta Saffirio Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","199","199","1","1","0","2021","Josetta Saffirio Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","199","199","1","1","0","2019","Josetta Saffirio Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","Josetta Saffirio","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
